,時限,教室,回生
197,月4,教育院棟演習室24,１回生
198,月4,共北3A,１回生
199,月4,1共22,１回生
200,月4,共北34,１回生
201,月4,4共33,１回生
202,月4,共西03,全回生
203,月4,共西12,全回生
204,月4,共北36,全回生
205,月4,共北21(CALL),全回生
206,月4,共北28,全回生
207,月4,情報メ301(CALL),全回生
208,月4,共東22(CALL),全回生
209,月4,共西02,全回生
210,月4,4共12,２回生以上
211,月4,4共10,２回生以上
212,月4,共西04,２回生以上
213,月4,総人1305(CALL),２回生以上
214,月4,1共25(LL),２回生以上
215,月4,情報メ302(CALL),２回生以上
216,月4,共北23(CALL),２回生以上
217,月4・月5,総人1206,全回生
218,月4,4共40,２回生以上
219,月4,共北31,２回生以上
220,月4,薬学部教育棟2階23講義室,２回生以上
221,月5,4共30,全回生
